settlement_location,pnode,class,scope,in_weis
PRPM.RAWHIDED,PRPARAWHIDEUNRAWHIDE_D_RA,resource,internal,-
PRPM.RAWHIDEF,PRPARAWHIDEUNRAWHIDE_F_RA,resource,internal,-
PSLO_BERT_PR_PSCO_PSCM,PSLO_BERT_PR_PSCO_PSCM_LA,load,review,-
WACM.UPI.TESLA,WACMTESLA_69UNTESLA_MSR_RA,resource,internal,-
WACM.TSCO.CHW,WACMWWILDHORUNCO_HI_WIND_RA,resource,internal,-
LPEA_WACM_LD,LPEA_WACM_LD_LA,load,internal,-
WACM_CRSP_WILW,WACM_CRSP_WILW_H,hub,internal,-
WACM_CRSP_WMPA,WACM_CRSP_WMPA_H,hub,internal,-
PSEI,PSEI,ba,external-seam,yes
WACM_CRSP_DGTMGARKS,WACM_CRSP_DGTMGARKS_LA,load,internal,-
PRPM.CRAIG2,PRPACRG_PSCOUNPRPA_CRG_U2_RA,resource,internal,-
WACM_TSPM_NEWMEX,WACM_TSPM_NEWMEX_LA,load,internal,-
WACM_PACE_BIGGEORGE,WACM_PACE_BIGGEORGE_LA,load,internal,-
AVRN,AVRN,ba,internal,yes
CRSP_HUB,CRSP_HUB_H,hub,internal,-
PGE,PGE,ba,external-seam,yes
DGTM_MNLK_IM,DGTM_MNLK_IM_LA,load,review,-
WACM_LAP_TSPM_COLOAD,WACM_LAP_TSPM_COLOAD_LA,load,internal,-
WACM_PAGE_COSUP,WACM_PAGE_COSUP_LA,load,internal,-
CSU.CSRSOLAR,WACMRDNIXONUNCSRSOLAR_RA,resource,internal,-
WACM_PACE_NCODY,WACM_PACE_NCODY_H,hub,internal,-
CSU_L_CSU,CSU_L_CSU_LA,load,internal,-
WACM.DMEA.DROP5.RTO,WACMBULLOCKUNWACM_DMEA_BUL5_RA,resource,internal,-
PRPM.ROUNDHOUSE,PRPAROUNDHSEUNROUNDHSE_WND_RA,resource,internal,-
NTUA_LD,NTUA_LD_LA,load,internal,-
PRPM.BLACKHOLLOW,PRPASEVERANCUNBLK_HOLLOW_SLR_RA,resource,internal,-
CRSP.PRPA.FSE,CRSP.PRPA.FSE_H,hub,internal,-
LPEA_DOLCANSOL,WACMCAHUNLPEA_DOLCANSOL_RA,resource,internal,-
PSCO,PSCO,ba,internal,-
WACM_TSPM_WCHILD,WACM_TSPM_WCHILD_LA,load,internal,-
WACM_TSPM_CO_COSPGS,WACM_TSPM_CO_COSPGS_LA,load,internal,-
WACM.TSCO.LIMON2,WACMLINCOLRDUNLIMON_2_RA,resource,internal,-
WACM.LAP.ALCOVA,WACMALCOVAUNALCOVA_PLT_RA,resource,internal,-
WACM.LAP.BOYSEN,WACMBOYSENUNBOYSEN_PLT_RA,resource,internal,-
PSLO_COBB1_PR_PSCO_PSCM,PSLO_COBB1_PR_PSCO_PSCM_LA,load,review,-
CSU.GRAZINYAKSOLAR,WACMGOLDWACMUNGRAZINYAKSOLAR_RA,resource,internal,-
CSU.PALMERSOLAR,WACMWILLSCRKUNPALMERSOLAR_RA,resource,internal,-
WACM.MEAW.SHAVANO.DROP.6,WACMBULLOCKUNWACM_MEAN_BUL6_RA,resource,internal,-
WACM_PACE_COPPERMT,WACM_PACE_COPPERMT_LA,load,internal,-
PRPM_PR,PRPM_PR_LA,load,internal,-
WACM_TSPM_WY_EAST_TSGT,WACM_TSPM_WY_EAST_TSGT_LA,load,internal,-
WACM_CRSP_LOAD,WACM_CRSP_LOAD_LA,load,internal,-
WACM.UPI.MTNPKPWR4,WACMTESLA_69UNMPP4_GEN_RA,resource,internal,-
WACM.SRPM.CRAIG.2,WACMCRGCUUNWACM_SRPM_RA,resource,internal,-
WACM.TSPM.STEGALL,WACMWSTEGALLUNSTEGALL_DCTIE_RA,resource,internal,-
WACM.LAP.GUERNSEY,WACMLIMESTRDUNGUERNSEY_PLT_RA,resource,internal,-
WAUW_UGPW_BEPM,WAUW_UGPW_BEPM_LA,load,review,-
WACM.LAP.SHOSHONE,WACMSHOSHONEUNSHOSHONE_RA,resource,internal,-
WACM.LAP.POLEHILL,WACMPOLEHILLUNPOLEHILL_RA,resource,internal,-
WACM_CRSP_NTUA,WACM_CRSP_NTUA_LA,load,internal,-
DOPD,DOPD,ba,internal,yes
WACM_CRSP_ANIMAS,WACM_CRSP_ANIMAS_LA,load,internal,-
WACM.COS1.SID1,SID1_DDR,other,internal,-
WACM.CRSP.FONTENELLE,WACMFONWCMUNCRSP_FON_RA,resource,internal,-
WAUW.UGPW.YELLOWTAIL230,WAUWYELLWAUWUNYT_3_4_UGP_230_RA,resource,review,-
WACM.LAP.KORTES,WACMKORTESUNKORTES_PLT_RA,resource,internal,-
WACM_LAP_WMPA,WACM_LAP_WMPA_LA,load,internal,-
SCSW,SCSW_H,hub,internal,yes
LAP_HUB,LAP_HUB_H,hub,internal,-
CSU.SOUTHPLANT_AU2,WACMSOUTHPLAUNSOUTHPLANT_AU2_RA,resource,internal,-
PSLO_BURL_PR_PSCO_PSCM,PSLO_BURL_PR_PSCO_PSCM_LA,load,review,-
WACM.LAP.ESTES,WACMESTESUNESTES_PLT_RA,resource,internal,-
DGTM_DESM_IM,DGTM_DESM_IM_LA,load,review,-
WACM.UPI.MTNPKPWR1,WACMTESLA_69UNMPP1_GEN_RA,resource,internal,-
WACM.CRSP.GLENCANYON230,WACMGCUNGC_78_PLT_RA,resource,internal,-
NTUA_LD_PNM_BI,NTUA_LD_PNM_BI_LA,load,internal,-
WACM.LAP.GREENMOUNTAIN,WACMGREENMTNUNGREENMT_PLT_RA,resource,internal,-
DEAA,DEAA,ba,internal,yes
WACM_NTUA_PNM,WACM_NTUA_PNM_H,hub,internal,-
WACM_CRSP_NTUA_AZPS,WACM_CRSP_NTUA_AZPS_LA,load,internal,-
WACM.CRSP.BLUEMESA,WACMBMUNBM1_2_PLT_RA,resource,internal,-
WACM.TSCO.WILLIAMSFORK,WACMWILFORKUNWILL_FORK_RA,resource,internal,-
WACM_PACE_SPRINGCREEK,WACM_PACE_SPRINGCREEK_LA,load,internal,-
WACM.LAP.SPIRITMOUNTAIN,WACMBUFFBLPPUNSPIRIT_MTNPP_RA,resource,internal,-
BCHA,BCHA,ba,external-seam,yes
WACM_LAP_WYIRR,WACM_LAP_WYIRR_LA,load,internal,-
WAUW.UGPW.YELLOWTAIL115,WAUWYELLWAUWUNYT_1_2_UGP_115_RA,resource,review,-
WACM.UPI.MTNPKPWR6,WACMTESLA_69UNMPP6_GEN_RA,resource,internal,-
WACM.FEUS.W.NAVAJO,WACMNAV_DAMUN_PLT_RA,resource,internal,-
WACM_LAP_WAF,WACM_LAP_WAF_LA,load,internal,-
WACM.CRSP.MOLINA,WACMMOLINAUNMOLINA_PLT_RA,resource,internal,-
WACM_WG_RTO,WACM_WG_RTO_LA,load,internal,-
WACM_CRSP_NTUANIIP,WACM_CRSP_NTUANIIP_LA,load,internal,-
WACM.FEUS.W.BLUFFVIEW4,WACMBLUFVIEWUNUNIT_4_RA,resource,internal,-
WACM.CRSP.GLENCANYON345,WACMGCUNGC_16_PLT_RA,resource,internal,-
WACM_CRSP_TSPM_CONW,WACM_CRSP_TSPM_CONW_LA,load,internal,-
WACM.TSCO.BURLINGTON1,WACMBURLNGTNUNBURLINGTON_1_RA,resource,internal,-
WACM_MEAW,WACM_MEAW_LA,load,internal,-
PRPA_PR_PSCO_PSCM,PRPA_PR_PSCO_PSCM_LA,load,internal,-
NTUA.GEN.KAYENTA.PLTB,WACMKAYUNKAYENTA2_SOLAR_RA,resource,internal,-
WACM.TSCO.CAROUSEL,WACMBURLNGTNUNCAROUSEL_RA,resource,internal,-
PRPM.CRAIG1,PRPM.CRAIG1_H,hub,internal,-
WACM_PACE_BASIN,WACM_PACE_BASIN_LA,load,internal,-
WACM.LAP.SIDNEY,WACMW_SIDNEYUNSIDNEY_DCTIE_RA,resource,internal,-
CEN,CEN,ba,internal,yes
WACM_PACE_GLENDO,WACM_PACE_GLENDO_LA,load,internal,-
GCPD,GCPD,ba,internal,yes
DGTM_MAHG_IM,DGTM_MAHG_IM_LA,load,review,-
WACM.PSC2.TACOMA,WACMTACOUNWACM_HYDRO_RA,resource,internal,yes
AVA,AVA,ba,external-seam,yes
WACM.TSCO.LIMON1,PSCOLIMOUNLIMON_1_RA,resource,internal,-
WACM.CRSP.FLAMINGGORGE,WACMFGSUNFG_123_PLT_RA,resource,internal,-
WACM_PACE_NCODY_PAC,WACM_PACE_NCODY_PAC_LA,load,internal,-
SDGE,CISO,ba,external-seam,yes
DGTM_GARK_IM,DGTM_GARK_IM_LA,load,review,-
LAPT.UGP.FSE,LAPT.UGP.FSE_H,hub,internal,-
WACM.PACE.CRAIG2,WACMCRGCUUNWACM_PACE_RA,resource,internal,-
NTUA_LD_AZPS,NTUA_LD_AZPS_LA,load,internal,-
WACM.FEUS.W.BLUFFVIEW3,WACMBLUFVIEWUNUNIT_3_RA,resource,internal,-
LAPT.CSU.FSE,LAPT.CSU.FSE_H,hub,internal,-
WACM_LAP_TSPM_WYEAST,WACM_LAP_TSPM_WYEAST_LA,load,internal,-
WAUW_UGPW,WAUW_UGPW_LA,load,review,-
WACM.LAP.YELLOWTAIL230,WACMYELLOWBRUNYT_3_4_LAP_230_RA,resource,internal,-
TID,TID,ba,external-seam,yes
CSU_L_OTERO,CSU_L_OTERO_LA,load,internal,-
WACM.TSCO.KCW,WACMLANDSMANUNKIT_CARSON_RA,resource,internal,-
DGTM_VERN_IM,DGTM_VERN_IM_LA,load,review,-
WACM.TSCO.DOLORESCANYON,WACMCAHUNDOLRES_CANYON_RA,resource,internal,-
WACM.LAP.HEARTMOUNTAIN,WACMHEARTMTUNHEART_MT_RA,resource,internal,-
WACM_TSPM_CO_ANCCOSE,WACM_TSPM_CO_ANCCOSE_LA,load,internal,-
NEVP,NVE,ba,external-seam,yes
WACM.TSCO.NIYOL,WACMN_YUMAUNWACM_TSPM_NIYL_RA,resource,internal,-
WACM_CRSP_FEUS_W,WACM_CRSP_FEUS_W_LA,load,internal,-
WACM.PSC2.AMES,WACMAMESWUNWACM_HYDRO_RA,resource,internal,yes
